"Id","Area_km2","Lon","Lat","DEPTH_EFH","E_km","N_km","shallower_than_700m","trawlable","shallow_trawlable","LOG_DEPTH_EFH","LOG_DEPTH_EFH_CEN","LOG_DEPTH_EFH_CEN_SQ","stratum"
719312,13.719616,-151.6180178,57.86005857,85,582.002872149322,6413.96768591135,TRUE,TRUE,TRUE,4.44265125649032,-1.05697060848064,1.11718686719194,31
719313,13.719616,-151.5554831,57.85885384,77,585.716032358763,6413.91108949473,TRUE,TRUE,TRUE,4.34380542185368,-1.2326356255744,1.51939058543519,31
719314,13.719616,-151.4929528,57.85761792,73,589.429212472693,6413.85444885919,TRUE,TRUE,TRUE,4.29045944114839,-1.3274400515467,1.7620970904503,31
719315,13.719616,-151.4304269,57.85635079,77,593.142420233892,6413.79776146377,TRUE,TRUE,TRUE,4.34380542185368,-1.2326356255744,1.51939058543519,31
719316,13.719616,-151.3679056,57.85505247,80,596.855651417769,6413.74102894737,TRUE,TRUE,TRUE,4.38202663467388,-1.16471035560136,1.35655021244504,31
719317,13.719616,-151.305389,57.85372295,85,600.568907807243,6413.6842497278,TRUE,TRUE,TRUE,4.44265125649032,-1.05697060848064,1.11718686719194,31
719318,13.719616,-151.2428771,57.85236225,89,604.28219703535,6413.62742570795,TRUE,TRUE,TRUE,4.48863636973214,-0.97524763316885,0.951107946001443,31
719319,13.719616,-151.1803701,57.85097035,90,607.99551497759,6413.57055403266,TRUE,TRUE,TRUE,4.49980967033027,-0.955390872914068,0.912771720047505,31
719320,13.719616,-151.1178681,57.84954727,88,611.708863326231,6413.51363643384,TRUE,TRUE,TRUE,4.47733681447821,-0.995328768343951,0.990679357093087,31
719321,13.719616,-151.0553713,57.84809301,95,615.422237893501,6413.45667223825,TRUE,TRUE,TRUE,4.55387689160054,-0.859304685938466,0.738404543275806,31
719322,13.719616,-150.9928796,57.84660758,96,619.135652260422,6413.39966238352,TRUE,TRUE,TRUE,4.56434819146784,-0.840695494393428,0.70676891429341,31
719323,13.719616,-150.9303933,57.84509097,96,622.849096332798,6413.34260489044,TRUE,TRUE,TRUE,4.56434819146784,-0.840695494393428,0.70676891429341,31
719324,13.719616,-150.8679124,57.8435432,99,626.562577717367,6413.28550162765,TRUE,TRUE,TRUE,4.59511985013459,-0.786009285656664,0.617810597138499,31
719325,13.719616,-150.8054371,57.84196426,103,630.276092250012,6413.22835075319,TRUE,TRUE,TRUE,4.63472898822964,-0.715617448245271,0.512108332233073,31
719326,13.719616,-150.7429674,57.84035416,110,633.989647564765,6413.17115301671,TRUE,TRUE,TRUE,4.70048036579242,-0.598766627915171,0.358521474704905,31
719327,13.719616,-150.6805035,57.8387129,104,637.703239458094,6413.11390766133,TRUE,TRUE,TRUE,4.64439089914137,-0.698446671634321,0.487827753117061,31
719328,13.719616,-150.6180454,57.83704049,108,641.416875556157,6413.05661543066,TRUE,TRUE,TRUE,4.68213122712422,-0.631376011706139,0.39863566815795,31
